route_name,route_description,total_complaints,boardings,bus_stop_issue,bus_stop_issue_ratio,bus_stop_issue_rank,bus_stop_issue_percent,capacity,capacity_ratio,capacity_rank,capacity_percent,cleanliness,cleanliness_ratio,cleanliness_rank,cleanliness_percent,no_stop,no_stop_ratio,no_stop_rank,no_stop_percent,driver_conduct,driver_conduct_ratio,driver_conduct_rank,driver_conduct_percent,fares,fares_ratio,fares_rank,fares_percent,maintenance,maintenance_ratio,maintenance_rank,maintenance_percent,misc,misc_ratio,misc_rank,misc_percent,passenger_conduct,passenger_conduct_ratio,passenger_conduct_rank,passenger_conduct_percent,praise,praise_ratio,praise_rank,praise_percent,safety,safety_ratio,safety_rank,safety_percent,schedule,schedule_ratio,schedule_rank,schedule_percent
107,Bunche Park to Bal Harbour,402,1010297,23,2.3,32,5.7,4,0.4,49,1,5,0.5,32,1.2,43,4.3,37,10.7,33,3.3,52,8.2,1,0.1,41,0.2,5,0.5,18,1.2,20,2,43,5,1,0.1,16,0.2,10,1,46,2.5,23,2.3,24,5.7,234,23.2,29,58.2
108,North Miami Beach to Collins Avenue,268,1067935,13,1.2,54,4.9,8,0.7,32,3,4,0.4,38,1.5,53,5,26,19.8,41,3.8,38,15.3,0,0,49,0,3,0.3,28,1.1,15,1.4,64,5.6,1,0.1,18,0.4,5,0.5,75,1.9,16,1.5,39,6,109,10.2,63,40.7
110,Miami Beach to Miami International Airport,346,1688798,14,0.8,62,4,11,0.7,37,3.2,3,0.2,70,0.9,56,3.3,46,16.2,49,2.9,64,14.2,0,0,49,0,0,0,65,0,21,1.2,72,6.1,0,0,34,0,4,0.2,84,1.2,22,1.3,48,6.4,166,9.8,64,48
112,Hialeah to Lincoln Road,829,5544515,21,0.4,81,2.5,51,0.9,25,6.2,16,0.3,52,1.9,173,3.1,55,20.9,163,2.9,62,19.7,6,0.1,37,0.7,9,0.2,48,1.1,74,1.3,66,8.9,5,0.1,19,0.6,33,0.6,69,4,74,1.3,46,8.9,204,3.7,82,24.6
113,Civic Center to Miami Beach,180,493510,8,1.6,41,4.4,1,0.2,68,0.6,0,0,73,0,33,6.7,17,18.3,20,4.1,30,11.1,0,0,49,0,1,0.2,41,0.6,8,1.6,58,4.4,0,0,34,0,10,2,23,5.6,12,2.4,21,6.7,87,17.6,43,48.3
115,Mid-North Beach Connection,281,227583,23,10.1,3,8.2,5,2.2,12,1.8,1,0.4,36,0.4,37,16.3,6,13.2,17,7.5,11,6,0,0,49,0,3,1.3,6,1.1,19,8.3,5,6.8,0,0,34,0,10,4.4,8,3.6,11,4.8,7,3.9,155,68.1,6,55.2
119,Aventura to Downtown Miami,869,7080373,42,0.6,70,4.8,25,0.4,51,2.9,17,0.2,60,2,163,2.3,78,18.8,207,2.9,63,23.8,23,0.3,12,2.6,12,0.2,46,1.4,81,1.1,75,9.3,3,0,30,0.3,41,0.6,71,4.7,68,1,62,7.8,187,2.6,89,21.5
120,Beach Max: Downtown Miami to Aventura Mall,684,4287601,13,0.3,84,1.9,35,0.8,29,5.1,16,0.4,39,2.3,136,3.2,53,19.9,155,3.6,43,22.7,10,0.2,18,1.5,12,0.3,29,1.8,52,1.2,73,7.6,1,0,32,0.1,29,0.7,65,4.2,66,1.5,38,9.6,159,3.7,80,23.2
123,South Beach Local,177,1802489,9,0.5,77,5.1,1,0.1,81,0.6,1,0.1,72,0.6,28,1.6,86,15.8,50,2.8,69,28.2,0,0,49,0,4,0.2,39,2.3,16,0.9,86,9,0,0,34,0,18,1,45,10.2,16,0.9,68,9,34,1.9,91,19.2
132,Hialeah Tri-Rail to Doral,63,18007,1,5.6,9,1.6,0,0,83,0,1,5.6,1,1.6,24,133.3,1,38.1,2,11.1,5,3.2,0,0,49,0,0,0,65,0,3,16.7,3,4.8,0,0,34,0,1,5.6,4,1.6,1,5.6,4,1.6,30,166.6,1,47.6
